ctcf	sequence	type
MACS_peak_19100	ENSG00000168255	gene
MACS_peak_19100	ENSG00000284981	gene
MACS_peak_19101	ENSG00000168255	gene
MACS_peak_19101	ENSG00000270249	gene
MACS_peak_19102	ENSG00000168255	gene
MACS_peak_19102	ENSG00000270249	gene
MACS_peak_19102	ENSG00000205238	gene
MACS_peak_19103	ENSG00000270249	gene
MACS_peak_19104	ENSG00000270249	gene
MACS_peak_19105	ENSG00000105808	gene
MACS_peak_19105	ENSG00000205236	gene
MACS_peak_19106	ENSG00000205236	gene
MACS_peak_19107	ENSG00000205236	gene
MACS_peak_19107	ENSG00000267368	gene
MACS_peak_19107	ENSG00000267645	gene
MACS_peak_19108	ENSG00000267645	gene
MACS_peak_19108	ENSG00000173678	gene
MACS_peak_19109	ENSG00000267645	gene
MACS_peak_19109	ENSG00000173678	gene
MACS_peak_19114	ENSG00000222011	gene
MACS_peak_19115	ENSG00000222011	gene
MACS_peak_19116	ENSG00000161040	gene
MACS_peak_19117	ENSG00000161040	gene
MACS_peak_19120	ENSG00000189056	gene
MACS_peak_19121	ENSG00000189056	gene
MACS_peak_19122	ENSG00000164815	gene
MACS_peak_19125	ENSG00000187416	gene
MACS_peak_19126	ENSG00000187416	gene
MACS_peak_19127	ENSG00000187416	gene
MACS_peak_19128	ENSG00000187416	gene
MACS_peak_19129	ENSG00000187416	gene
MACS_peak_19130	ENSG00000187416	gene
MACS_peak_19135	ENSG00000005483	gene
MACS_peak_19136	ENSG00000135250	gene
MACS_peak_19137	ENSG00000135250	gene
MACS_peak_19139	ENSG00000146776	gene
MACS_peak_19140	ENSG00000146776	gene
MACS_peak_19153	ENSG00000164597	gene
MACS_peak_19154	ENSG00000164597	gene
MACS_peak_19155	ENSG00000164597	gene
MACS_peak_19156	ENSG00000164597	gene
MACS_peak_19157	ENSG00000164597	gene
MACS_peak_19158	ENSG00000164597	gene
MACS_peak_19159	ENSG00000164597	gene
MACS_peak_19160	ENSG00000075790	gene
MACS_peak_19162	ENSG00000091137	gene
MACS_peak_19163	ENSG00000091137	gene
MACS_peak_19165	ENSG00000105879	gene
MACS_peak_19166	ENSG00000091138	gene
MACS_peak_19170	ENSG00000091129	gene
MACS_peak_19171	ENSG00000091129	gene
MACS_peak_19190	ENSG00000184903	gene
MACS_peak_19191	ENSG00000184903	gene
MACS_peak_19192	ENSG00000184903	gene
MACS_peak_19193	ENSG00000184903	gene
MACS_peak_19194	ENSG00000184903	gene
MACS_peak_19195	ENSG00000184903	gene
MACS_peak_19196	ENSG00000184903	gene
MACS_peak_19197	ENSG00000184903	gene
MACS_peak_19201	ENSG00000128512	gene
MACS_peak_19202	ENSG00000128512	gene
MACS_peak_19203	ENSG00000128512	gene
MACS_peak_19204	ENSG00000128512	gene
MACS_peak_19205	ENSG00000128512	gene
MACS_peak_19206	ENSG00000128512	gene
MACS_peak_19207	ENSG00000198839	gene
MACS_peak_19222	ENSG00000154415	gene
MACS_peak_19223	ENSG00000128573	gene
MACS_peak_19224	ENSG00000128573	gene
MACS_peak_19225	ENSG00000128573	gene
MACS_peak_19227	ENSG00000105967	gene
MACS_peak_19228	ENSG00000105967	gene
MACS_peak_19230	ENSG00000105971	gene
MACS_peak_19231	ENSG00000105971	gene
MACS_peak_19232	ENSG00000105974	gene
MACS_peak_19234	ENSG00000105976	gene
MACS_peak_19235	ENSG00000198898	gene
MACS_peak_19236	ENSG00000004866	gene
MACS_peak_19239	ENSG00000001626	gene
MACS_peak_19240	ENSG00000077063	gene
MACS_peak_19256	ENSG00000184408	gene
MACS_peak_19257	ENSG00000184408	gene
MACS_peak_19258	ENSG00000184408	gene
MACS_peak_19259	ENSG00000184408	gene
MACS_peak_19260	ENSG00000106025	gene
MACS_peak_19261	ENSG00000106025	gene
MACS_peak_19262	ENSG00000106034	gene
MACS_peak_19263	ENSG00000106034	gene
MACS_peak_19264	ENSG00000106034	gene
MACS_peak_19265	ENSG00000106034	gene
MACS_peak_19267	ENSG00000002745	gene
MACS_peak_19269	ENSG00000106278	gene
MACS_peak_19270	ENSG00000008311	gene
MACS_peak_19272	ENSG00000081803	gene
MACS_peak_19273	ENSG00000081803	gene
MACS_peak_19275	ENSG00000081803	gene
MACS_peak_19277	ENSG00000081800	gene
MACS_peak_19278	ENSG00000081800	gene
MACS_peak_19283	ENSG00000164675	gene
MACS_peak_19284	ENSG00000164675	gene
MACS_peak_19285	ENSG00000128609	gene
MACS_peak_19286	ENSG00000128609	gene
MACS_peak_19287	ENSG00000106299	gene
MACS_peak_19288	ENSG00000106299	gene
MACS_peak_19299	ENSG00000275356	gene
MACS_peak_19300	ENSG00000128513	gene
MACS_peak_19306	ENSG00000179603	gene
MACS_peak_19307	ENSG00000179603	gene
MACS_peak_19308	ENSG00000179603	gene
MACS_peak_19309	ENSG00000179603	gene
MACS_peak_19313	ENSG00000197157	gene
MACS_peak_19314	ENSG00000197157	gene
MACS_peak_19318	ENSG00000106348	gene
MACS_peak_19327	ENSG00000205085	gene
MACS_peak_19328	ENSG00000158457	gene
MACS_peak_19329	ENSG00000128602	gene
MACS_peak_19330	ENSG00000158467	gene
MACS_peak_19333	ENSG00000106459	gene
MACS_peak_19334	ENSG00000186591	gene
MACS_peak_19336	ENSG00000091732	gene
MACS_peak_19338	ENSG00000158623	gene
MACS_peak_19344	ENSG00000128585	gene
MACS_peak_19345	ENSG00000128567	gene
MACS_peak_19350	ENSG00000221866	gene
MACS_peak_19351	ENSG00000106554	gene
MACS_peak_19353	ENSG00000131558	gene
MACS_peak_19354	ENSG00000131558	gene
MACS_peak_19356	ENSG00000155530	gene
MACS_peak_19358	ENSG00000155530	gene
MACS_peak_19359	ENSG00000155530	gene
MACS_peak_19361	ENSG00000122786	gene
MACS_peak_19362	ENSG00000122786	gene
MACS_peak_19363	ENSG00000122786	gene
MACS_peak_19365	ENSG00000146856	gene
MACS_peak_19365	ENSG00000122783	gene
MACS_peak_19368	ENSG00000155561	gene
MACS_peak_19376	ENSG00000105894	gene
MACS_peak_19377	ENSG00000157680	gene
MACS_peak_19378	ENSG00000157680	gene
MACS_peak_19379	ENSG00000157680	gene
MACS_peak_19380	ENSG00000122787	gene
MACS_peak_19381	ENSG00000122787	gene
MACS_peak_19382	ENSG00000122787	gene
MACS_peak_19383	ENSG00000122787	gene
MACS_peak_19385	ENSG00000122779	gene
MACS_peak_19386	ENSG00000122779	gene
MACS_peak_19387	ENSG00000157703	gene
MACS_peak_19388	ENSG00000105929	gene
MACS_peak_19389	ENSG00000214128	gene
MACS_peak_19390	ENSG00000122778	gene
MACS_peak_19391	ENSG00000105948	gene
MACS_peak_19392	ENSG00000105948	gene
MACS_peak_19395	ENSG00000146963	gene
MACS_peak_19395	ENSG00000269955	gene
MACS_peak_19396	ENSG00000064393	gene
MACS_peak_19397	ENSG00000157800	gene
MACS_peak_19398	ENSG00000157800	gene
MACS_peak_19399	ENSG00000157800	gene
MACS_peak_19400	ENSG00000090266	gene
MACS_peak_19402	ENSG00000261115	gene
MACS_peak_19403	ENSG00000261115	gene
MACS_peak_19405	ENSG00000006530	gene
MACS_peak_19408	ENSG00000257335	gene
MACS_peak_19409	ENSG00000257335	gene
MACS_peak_19422	ENSG00000188037	gene
MACS_peak_19425	ENSG00000170379	gene
MACS_peak_19425	ENSG00000283528	gene
MACS_peak_19426	ENSG00000170379	gene
MACS_peak_19431	ENSG00000198420	gene
MACS_peak_19433	ENSG00000221836	gene
MACS_peak_19436	ENSG00000196511	gene
MACS_peak_19437	ENSG00000196511	gene
MACS_peak_19438	ENSG00000196511	gene
MACS_peak_19439	ENSG00000196511	gene
MACS_peak_19440	ENSG00000196511	gene
MACS_peak_19455	ENSG00000174469	gene
MACS_peak_19456	ENSG00000174469	gene
MACS_peak_19457	ENSG00000174469	gene
MACS_peak_19458	ENSG00000174469	gene
MACS_peak_19459	ENSG00000174469	gene
MACS_peak_19460	ENSG00000174469	gene
MACS_peak_19461	ENSG00000174469	gene
MACS_peak_19462	ENSG00000174469	gene
MACS_peak_19466	ENSG00000197024	gene
MACS_peak_19467	ENSG00000204946	gene
MACS_peak_19471	ENSG00000106526	gene
MACS_peak_19472	ENSG00000106526	gene
MACS_peak_19473	ENSG00000106526	gene
MACS_peak_19476	ENSG00000164900	gene
MACS_peak_19477	ENSG00000082014	gene
MACS_peak_19482	ENSG00000106617	gene
MACS_peak_19483	ENSG00000106617	gene
MACS_peak_19485	ENSG00000178234	gene
MACS_peak_19486	ENSG00000055609	gene
MACS_peak_19487	ENSG00000055609	gene
MACS_peak_19489	ENSG00000133627	gene
MACS_peak_19490	ENSG00000133627	gene
MACS_peak_19500	ENSG00000130226	gene
MACS_peak_19501	ENSG00000130226	gene
MACS_peak_19502	ENSG00000157212	gene
MACS_peak_19505	ENSG00000184863	gene
MACS_peak_19506	ENSG00000105983	gene
MACS_peak_19507	ENSG00000105983	gene
MACS_peak_19508	ENSG00000105983	gene
MACS_peak_19511	ENSG00000009335	gene
MACS_peak_19513	ENSG00000155093	gene
MACS_peak_19514	ENSG00000155093	gene
MACS_peak_19516	ENSG00000146918	gene
MACS_peak_19517	ENSG00000146918	gene
MACS_peak_19518	ENSG00000126870	gene
MACS_peak_19519	ENSG00000106018	gene
MACS_peak_18256	ENSG00000283061	other
MACS_peak_18256	ENSG00000282572	other
MACS_peak_18257	ENSG00000282572	other
MACS_peak_18286	ENSG00000217455	other
MACS_peak_18302	ENSG00000196204	other
MACS_peak_18308	ENSG00000237738	other
MACS_peak_18311	ENSG00000235944	other
MACS_peak_18324	ENSG00000187953	other
MACS_peak_18327	ENSG00000242731	other
MACS_peak_18328	ENSG00000242731	other
MACS_peak_18335	ENSG00000283549	other
MACS_peak_18337	ENSG00000283549	other
MACS_peak_18347	ENSG00000234710	other
MACS_peak_18355	ENSG00000230333	other
MACS_peak_18356	ENSG00000230333	other
MACS_peak_18374	ENSG00000229618	other
MACS_peak_18375	ENSG00000229618	other
MACS_peak_18376	ENSG00000229618	other
MACS_peak_18377	ENSG00000229618	other
MACS_peak_18378	ENSG00000229618	other
MACS_peak_18379	ENSG00000229618	other
MACS_peak_18380	ENSG00000229618	other
MACS_peak_18388	ENSG00000227489	other
MACS_peak_18396	ENSG00000229688	other
MACS_peak_18401	ENSG00000237773	other
MACS_peak_18402	ENSG00000237773	other
MACS_peak_18403	ENSG00000237773	other
MACS_peak_18404	ENSG00000237773	other
MACS_peak_18405	ENSG00000237773	other
MACS_peak_18406	ENSG00000236039	other
MACS_peak_18407	ENSG00000236039	other
MACS_peak_18417	ENSG00000223838	other
MACS_peak_18424	ENSG00000285592	other
MACS_peak_18424	ENSG00000232790	other
MACS_peak_18464	ENSG00000223561	other
MACS_peak_18473	ENSG00000254369	other
MACS_peak_18473	ENSG00000273433	other
MACS_peak_18474	ENSG00000272801	other
MACS_peak_18474	ENSG00000254369	other
MACS_peak_18474	ENSG00000273433	other
MACS_peak_18490	ENSG00000229263	other
MACS_peak_18514	ENSG00000229358	other
MACS_peak_18515	ENSG00000229358	other
MACS_peak_18516	ENSG00000229358	other
MACS_peak_18517	ENSG00000229358	other
MACS_peak_18539	ENSG00000197085	other
MACS_peak_18541	ENSG00000197085	other
MACS_peak_18543	ENSG00000197085	other
MACS_peak_18550	ENSG00000189212	other
MACS_peak_18551	ENSG00000189212	other
MACS_peak_18559	ENSG00000237400	other
MACS_peak_18567	ENSG00000281103	other
MACS_peak_18568	ENSG00000281103	other
MACS_peak_18569	ENSG00000281103	other
MACS_peak_18570	ENSG00000281103	other
MACS_peak_18576	ENSG00000188185	other
MACS_peak_18582	ENSG00000224116	other
MACS_peak_18589	ENSG00000273432	other
MACS_peak_18589	ENSG00000214783	other
MACS_peak_18590	ENSG00000239556	other
MACS_peak_18590	ENSG00000273432	other
MACS_peak_18590	ENSG00000214783	other
MACS_peak_18591	ENSG00000285596	other
MACS_peak_18592	ENSG00000285596	other
MACS_peak_18600	ENSG00000272556	other
MACS_peak_18603	ENSG00000229459	other
MACS_peak_18605	ENSG00000136275	other
MACS_peak_18621	ENSG00000228005	other
MACS_peak_18627	ENSG00000285741	other
MACS_peak_18657	ENSG00000280890	other
MACS_peak_18669	ENSG00000279072	other
MACS_peak_18670	ENSG00000279072	other
MACS_peak_18788	ENSG00000164669	other
MACS_peak_18789	ENSG00000164669	other
MACS_peak_18790	ENSG00000164669	other
MACS_peak_18791	ENSG00000164669	other
MACS_peak_18799	ENSG00000272693	other
MACS_peak_18807	ENSG00000106610	other
MACS_peak_18808	ENSG00000225209	other
MACS_peak_18847	ENSG00000224273	other
MACS_peak_18854	ENSG00000205485	other
MACS_peak_18857	ENSG00000259628	other
MACS_peak_18858	ENSG00000250990	other
MACS_peak_18888	ENSG00000233491	other
MACS_peak_18910	ENSG00000235139	other
MACS_peak_18955	ENSG00000228113	other
MACS_peak_18964	ENSG00000227863	other
MACS_peak_18967	ENSG00000227646	other
MACS_peak_18968	ENSG00000273299	other
MACS_peak_18969	ENSG00000273299	other
MACS_peak_18978	ENSG00000243144	other
MACS_peak_18979	ENSG00000235450	other
MACS_peak_18979	ENSG00000243144	other
MACS_peak_18991	ENSG00000230927	other
MACS_peak_18992	ENSG00000230927	other
MACS_peak_18994	ENSG00000244055	other
MACS_peak_19013	ENSG00000285090	other
MACS_peak_19018	ENSG00000236197	other
MACS_peak_19050	ENSG00000284707	other
MACS_peak_19064	ENSG00000284523	other
MACS_peak_19075	ENSG00000235077	other
MACS_peak_19078	ENSG00000272752	other
MACS_peak_19078	ENSG00000242294	other
MACS_peak_19079	ENSG00000272752	other
MACS_peak_19079	ENSG00000242294	other
MACS_peak_19086	ENSG00000232445	other
MACS_peak_19105	ENSG00000279168	other
MACS_peak_19106	ENSG00000279168	other
MACS_peak_19107	ENSG00000279168	other
MACS_peak_19108	ENSG00000279168	other
MACS_peak_19109	ENSG00000279168	other
MACS_peak_19110	ENSG00000279168	other
MACS_peak_19111	ENSG00000279168	other
MACS_peak_19112	ENSG00000233297	other
MACS_peak_19118	ENSG00000170629	other
MACS_peak_19128	ENSG00000226869	other
MACS_peak_19131	ENSG00000225329	other
MACS_peak_19132	ENSG00000225329	other
MACS_peak_19133	ENSG00000228393	other
MACS_peak_19134	ENSG00000228393	other
MACS_peak_19147	ENSG00000243797	other
MACS_peak_19148	ENSG00000243797	other
MACS_peak_19149	ENSG00000243797	other
MACS_peak_19151	ENSG00000228742	other
MACS_peak_19172	ENSG00000225647	other
MACS_peak_19176	ENSG00000229603	other
MACS_peak_19187	ENSG00000226965	other
MACS_peak_19230	ENSG00000237813	other
MACS_peak_19231	ENSG00000237813	other
MACS_peak_19233	ENSG00000231210	other
MACS_peak_19236	ENSG00000226367	other
MACS_peak_19239	ENSG00000083622	other
MACS_peak_19254	ENSG00000225546	other
MACS_peak_19272	ENSG00000240499	other
MACS_peak_19291	ENSG00000242593	other
MACS_peak_19292	ENSG00000242593	other
MACS_peak_19293	ENSG00000242593	other
MACS_peak_19294	ENSG00000242593	other
MACS_peak_19295	ENSG00000242593	other
MACS_peak_19296	ENSG00000242593	other
MACS_peak_19301	ENSG00000224897	other
MACS_peak_19302	ENSG00000237764	other
MACS_peak_19312	ENSG00000240790	other
MACS_peak_19319	ENSG00000240758	other
MACS_peak_19319	ENSG00000273184	other
MACS_peak_19320	ENSG00000273184	other
MACS_peak_19321	ENSG00000273184	other
MACS_peak_19322	ENSG00000280828	other
MACS_peak_19323	ENSG00000242588	other
MACS_peak_19323	ENSG00000280828	other
MACS_peak_19325	ENSG00000243302	other
MACS_peak_19329	ENSG00000243230	other
MACS_peak_19335	ENSG00000244036	other
MACS_peak_19340	ENSG00000233559	other
MACS_peak_19340	ENSG00000285106	other
MACS_peak_19341	ENSG00000233559	other
MACS_peak_19341	ENSG00000285106	other
MACS_peak_19341	ENSG00000226380	other
MACS_peak_19342	ENSG00000231721	other
MACS_peak_19342	ENSG00000285106	other
MACS_peak_19343	ENSG00000231721	other
MACS_peak_19343	ENSG00000285106	other
MACS_peak_19370	ENSG00000232053	other
MACS_peak_19371	ENSG00000234352	other
MACS_peak_19373	ENSG00000234352	other
MACS_peak_19404	ENSG00000261570	other
MACS_peak_19423	ENSG00000229153	other
MACS_peak_19425	ENSG00000283537	other
MACS_peak_19427	ENSG00000253882	other
MACS_peak_19428	ENSG00000253882	other
MACS_peak_19434	ENSG00000244198	other
MACS_peak_19435	ENSG00000244479	other
MACS_peak_19435	ENSG00000284644	other
MACS_peak_19494	ENSG00000234722	other
MACS_peak_19561	ENSG00000177023	promoter
MACS_peak_19794	ENSG00000168300	promoter
MACS_peak_20065	ENSG00000085719	promoter
MACS_peak_20130	ENSG00000104325	promoter
MACS_peak_20464	ENSG00000147679	promoter
MACS_peak_20706	ENSG00000130193	promoter
MACS_peak_19537	ENSG00000198010	gene
MACS_peak_19538	ENSG00000198010	gene
MACS_peak_19539	ENSG00000198010	gene
MACS_peak_19545	ENSG00000183117	gene
MACS_peak_19546	ENSG00000183117	gene
MACS_peak_19547	ENSG00000183117	gene
MACS_peak_19548	ENSG00000183117	gene
MACS_peak_19549	ENSG00000183117	gene
MACS_peak_19550	ENSG00000183117	gene
MACS_peak_19551	ENSG00000183117	gene
MACS_peak_19552	ENSG00000183117	gene
MACS_peak_19560	ENSG00000164871	gene
MACS_peak_19562	ENSG00000198129	gene
MACS_peak_19563	ENSG00000198129	gene
MACS_peak_19566	ENSG00000178287	gene
MACS_peak_19575	ENSG00000173273	gene
MACS_peak_19576	ENSG00000173273	gene
MACS_peak_19579	ENSG00000104643	gene
MACS_peak_19593	ENSG00000164741	gene
MACS_peak_19596	ENSG00000185053	gene
MACS_peak_19597	ENSG00000185053	gene
MACS_peak_19598	ENSG00000185053	gene
MACS_peak_19599	ENSG00000185053	gene
MACS_peak_19601	ENSG00000185053	gene
MACS_peak_19602	ENSG00000185053	gene
MACS_peak_19605	ENSG00000104723	gene
MACS_peak_19607	ENSG00000038945	gene
MACS_peak_19612	ENSG00000104760	gene
MACS_peak_19614	ENSG00000078674	gene
MACS_peak_19615	ENSG00000078674	gene
MACS_peak_19616	ENSG00000171428	gene
MACS_peak_19617	ENSG00000171428	gene
MACS_peak_19618	ENSG00000156011	gene
MACS_peak_19619	ENSG00000156011	gene
MACS_peak_19620	ENSG00000156011	gene
MACS_peak_19621	ENSG00000156011	gene
MACS_peak_19622	ENSG00000156011	gene
MACS_peak_19623	ENSG00000104611	gene
MACS_peak_19624	ENSG00000104611	gene
MACS_peak_19625	ENSG00000147408	gene
MACS_peak_19627	ENSG00000175445	gene
MACS_peak_19638	ENSG00000104635	gene
MACS_peak_19639	ENSG00000120910	gene
MACS_peak_19640	ENSG00000120896	gene
MACS_peak_19641	ENSG00000120896	gene
MACS_peak_19642	ENSG00000134020	gene
MACS_peak_19643	ENSG00000134020	gene
MACS_peak_19649	ENSG00000069206	gene
MACS_peak_19655	ENSG00000147459	gene
MACS_peak_19659	ENSG00000221818	gene
MACS_peak_19663	ENSG00000104765	gene
MACS_peak_19664	ENSG00000092964	gene
MACS_peak_19665	ENSG00000120907	gene
MACS_peak_19670	ENSG00000120899	gene
MACS_peak_19672	ENSG00000120885	gene
MACS_peak_19674	ENSG00000012232	gene
MACS_peak_19675	ENSG00000104299	gene
MACS_peak_19676	ENSG00000147421	gene
MACS_peak_19678	ENSG00000157110	gene
MACS_peak_19682	ENSG00000157168	gene
MACS_peak_19683	ENSG00000157168	gene
MACS_peak_19684	ENSG00000157168	gene
MACS_peak_19685	ENSG00000157168	gene
MACS_peak_19688	ENSG00000129696	gene
MACS_peak_19688	ENSG00000198042	gene
MACS_peak_19699	ENSG00000156687	gene
MACS_peak_19700	ENSG00000156687	gene
MACS_peak_19702	ENSG00000215262	gene
MACS_peak_19712	ENSG00000131203	gene
MACS_peak_19713	ENSG00000188676	gene
MACS_peak_19716	ENSG00000158669	gene
MACS_peak_19719	ENSG00000147432	gene
MACS_peak_19769	ENSG00000164808	gene
MACS_peak_19770	ENSG00000164808	gene
MACS_peak_19771	ENSG00000164808	gene
MACS_peak_19772	ENSG00000164808	gene
MACS_peak_19773	ENSG00000164808	gene
MACS_peak_19774	ENSG00000164808	gene
MACS_peak_19776	ENSG00000253729	gene
MACS_peak_19786	ENSG00000147481	gene
MACS_peak_19787	ENSG00000147481	gene
MACS_peak_19788	ENSG00000147481	gene
MACS_peak_19790	ENSG00000147485	gene
MACS_peak_19791	ENSG00000147485	gene
MACS_peak_19792	ENSG00000147485	gene
MACS_peak_19798	ENSG00000147488	gene
MACS_peak_19799	ENSG00000147488	gene
MACS_peak_19802	ENSG00000023287	gene
MACS_peak_19803	ENSG00000023287	gene
MACS_peak_19812	ENSG00000047249	gene
MACS_peak_19813	ENSG00000187735	gene
MACS_peak_19817	ENSG00000104237	gene
MACS_peak_19818	ENSG00000104237	gene
MACS_peak_19819	ENSG00000104237	gene
MACS_peak_19820	ENSG00000104237	gene
MACS_peak_19821	ENSG00000104237	gene
MACS_peak_19822	ENSG00000206579	gene
MACS_peak_19825	ENSG00000254087	gene
MACS_peak_19836	ENSG00000104331	gene
MACS_peak_19843	ENSG00000169122	gene
MACS_peak_19846	ENSG00000035681	gene
MACS_peak_19847	ENSG00000198846	gene
MACS_peak_19853	ENSG00000178538	gene
MACS_peak_19854	ENSG00000104388	gene
MACS_peak_19855	ENSG00000104388	gene
MACS_peak_19857	ENSG00000177182	gene
MACS_peak_19858	ENSG00000177182	gene
MACS_peak_19859	ENSG00000177182	gene
MACS_peak_19860	ENSG00000198363	gene
MACS_peak_19861	ENSG00000198363	gene
MACS_peak_19862	ENSG00000198363	gene
MACS_peak_19863	ENSG00000198363	gene
MACS_peak_19869	ENSG00000185942	gene
MACS_peak_19870	ENSG00000185942	gene
MACS_peak_19871	ENSG00000185942	gene
MACS_peak_19883	ENSG00000172817	gene
MACS_peak_19884	ENSG00000172817	gene
MACS_peak_19889	ENSG00000066855	gene
MACS_peak_19890	ENSG00000066855	gene
MACS_peak_19890	ENSG00000205268	gene
MACS_peak_19892	ENSG00000147570	gene
MACS_peak_19894	ENSG00000185697	gene
MACS_peak_19895	ENSG00000185697	gene
MACS_peak_19896	ENSG00000104205	gene
MACS_peak_19897	ENSG00000104205	gene
MACS_peak_19900	ENSG00000165078	gene
MACS_peak_19901	ENSG00000165078	gene
MACS_peak_19902	ENSG00000165078	gene
MACS_peak_19903	ENSG00000165078	gene
MACS_peak_19905	ENSG00000165084	gene
MACS_peak_19906	ENSG00000165084	gene
MACS_peak_19908	ENSG00000165084	gene
MACS_peak_19913	ENSG00000137573	gene
MACS_peak_19915	ENSG00000140396	gene
MACS_peak_19916	ENSG00000140396	gene
MACS_peak_19919	ENSG00000221947	gene
MACS_peak_19921	ENSG00000104313	gene
MACS_peak_19922	ENSG00000104313	gene
MACS_peak_19934	ENSG00000182674	gene
MACS_peak_19935	ENSG00000147601	gene
MACS_peak_19938	ENSG00000274443	gene
MACS_peak_19939	ENSG00000121039	gene
MACS_peak_19941	ENSG00000040341	gene
MACS_peak_19942	ENSG00000040341	gene
MACS_peak_19943	ENSG00000104369	gene
MACS_peak_19944	ENSG00000104381	gene
MACS_peak_19945	ENSG00000104381	gene
MACS_peak_19947	ENSG00000137558	gene
MACS_peak_19955	ENSG00000164749	gene
MACS_peak_19982	ENSG00000104427	gene
MACS_peak_19982	ENSG00000104432	gene
MACS_peak_19983	ENSG00000104432	gene
MACS_peak_19984	ENSG00000104432	gene
MACS_peak_19985	ENSG00000104432	gene
MACS_peak_19989	ENSG00000104435	gene
MACS_peak_19992	ENSG00000147586	gene
MACS_peak_19992	ENSG00000276418	gene
MACS_peak_19993	ENSG00000147586	gene
MACS_peak_19993	ENSG00000276418	gene
MACS_peak_19994	ENSG00000147586	gene
MACS_peak_19994	ENSG00000276418	gene
MACS_peak_19995	ENSG00000147586	gene
MACS_peak_19995	ENSG00000276418	gene
MACS_peak_19996	ENSG00000276418	gene
MACS_peak_19996	ENSG00000076554	gene
MACS_peak_19997	ENSG00000076554	gene
MACS_peak_19998	ENSG00000076554	gene
MACS_peak_20001	ENSG00000164684	gene
MACS_peak_20002	ENSG00000164684	gene
MACS_peak_20003	ENSG00000164684	gene
MACS_peak_20004	ENSG00000076641	gene
MACS_peak_20005	ENSG00000076641	gene
MACS_peak_20006	ENSG00000076641	gene
MACS_peak_20011	ENSG00000104231	gene
MACS_peak_20029	ENSG00000184672	gene
MACS_peak_20030	ENSG00000184672	gene
MACS_peak_20031	ENSG00000184672	gene
MACS_peak_20032	ENSG00000184672	gene
MACS_peak_20038	ENSG00000133740	gene
MACS_peak_20039	ENSG00000133740	gene
MACS_peak_20040	ENSG00000133742	gene
MACS_peak_20060	ENSG00000147614	gene
MACS_peak_20061	ENSG00000147614	gene
MACS_peak_20062	ENSG00000147614	gene
MACS_peak_20064	ENSG00000164893	gene
MACS_peak_20066	ENSG00000085719	gene
MACS_peak_20066	ENSG00000170289	gene
MACS_peak_20067	ENSG00000170289	gene
MACS_peak_20068	ENSG00000170289	gene
MACS_peak_20069	ENSG00000170289	gene
MACS_peak_20072	ENSG00000176571	gene
MACS_peak_20073	ENSG00000176571	gene
MACS_peak_20074	ENSG00000176571	gene
MACS_peak_20076	ENSG00000176571	gene
MACS_peak_20077	ENSG00000176571	gene
MACS_peak_20078	ENSG00000176571	gene
MACS_peak_20079	ENSG00000176571	gene
MACS_peak_20080	ENSG00000176571	gene
MACS_peak_20086	ENSG00000156103	gene
MACS_peak_20087	ENSG00000156103	gene
MACS_peak_20088	ENSG00000156103	gene
MACS_peak_20089	ENSG00000156103	gene
MACS_peak_20090	ENSG00000156103	gene
MACS_peak_20091	ENSG00000156103	gene
MACS_peak_20092	ENSG00000156103	gene
MACS_peak_20125	ENSG00000104320	gene
MACS_peak_20126	ENSG00000104320	gene
MACS_peak_20127	ENSG00000104320	gene
MACS_peak_20128	ENSG00000104320	gene
MACS_peak_20129	ENSG00000104320	gene
MACS_peak_20130	ENSG00000104320	gene
MACS_peak_20131	ENSG00000104325	gene
MACS_peak_20132	ENSG00000104325	gene
MACS_peak_20140	ENSG00000180694	gene
MACS_peak_20141	ENSG00000123119	gene
MACS_peak_20142	ENSG00000123119	gene
MACS_peak_20144	ENSG00000155099	gene
MACS_peak_20145	ENSG00000155100	gene
MACS_peak_20146	ENSG00000155100	gene
MACS_peak_20147	ENSG00000214954	gene
MACS_peak_20148	ENSG00000147606	gene
MACS_peak_20149	ENSG00000147606	gene
MACS_peak_20150	ENSG00000147606	gene
MACS_peak_20151	ENSG00000147606	gene
MACS_peak_20159	ENSG00000079102	gene
MACS_peak_20166	ENSG00000205133	gene
MACS_peak_20167	ENSG00000205133	gene
MACS_peak_20176	ENSG00000164953	gene
MACS_peak_20181	ENSG00000079112	gene
MACS_peak_20182	ENSG00000079112	gene
MACS_peak_20185	ENSG00000164944	gene
MACS_peak_20190	ENSG00000164941	gene
MACS_peak_20191	ENSG00000175895	gene
MACS_peak_20202	ENSG00000156471	gene
MACS_peak_20203	ENSG00000104324	gene
MACS_peak_20204	ENSG00000104324	gene
MACS_peak_20205	ENSG00000104324	gene
MACS_peak_20206	ENSG00000104324	gene
MACS_peak_20207	ENSG00000104324	gene
MACS_peak_20208	ENSG00000104324	gene
MACS_peak_20210	ENSG00000104324	gene
MACS_peak_20211	ENSG00000104324	gene
MACS_peak_20219	ENSG00000104341	gene
MACS_peak_20220	ENSG00000104341	gene
MACS_peak_20221	ENSG00000132561	gene
MACS_peak_20222	ENSG00000177459	gene
MACS_peak_20226	ENSG00000104375	gene
MACS_peak_20227	ENSG00000104375	gene
MACS_peak_20228	ENSG00000104375	gene
MACS_peak_20229	ENSG00000104375	gene
MACS_peak_20230	ENSG00000104375	gene
MACS_peak_20231	ENSG00000104375	gene
