cytoband	11q23.3	1p36.12	19p13.3	13q14.11	8p23.2	6q21	3p21.31	17p12	10q23.31	14q24.3	16q23.3	9q22.33	12q24.33	12p13.1	11p15.5	17q25.3	1p21.3	4q35.1	10q26.13	7p22.2	11q13.1	16q11.2	7q36.1	17q12	2q37.1	6q27	15q22.2	22q13.31	5q21.1	9p21.3	2q14.3	8q24.3	12q23.3	22q11.22	21q22.3	
							SS18L2			MIR625				CLEC4D	OR52I2		ATG4C	LOC90768			ZFP91		MKRN1	SOCS7	MTERF4		EMC7	RPL23AP82	LEAP2	FGF7P3	TMEM163	SAMD12	GPN3	APOL3	KRTAP13-1	
							SHISA5			LINC01220				LINC01252	OR51E1		STRIP1	PRMT9			OR8J3		ZKSCAN5	SOST	UBE2F		PAK6	LINC00634	SLCO6A1	MSMP	AMMECR1L	MIR30B	GLTP	OR11H1	TCP10L	
							ZDHHC3			SNORA11B				ACSM4	UBQLNL		DOCK7	DDX60L			OR4P4		CLDN15	RAPGEFL1	OTOS		DTWD1	C22orf34	PRRC1	SPATA31A3	ZRANB3	MIR30D	MAPKAPK5-AS1	GUCD1	CHODL	
							ZMYND10			LOC100128233				TAS2R42	LOC143666		NEXN	NAF1			OR4C15		BRI3	COPZ2	COPS9		KNL1	CHKB-CPT1B	ZNF474	SPATA31A5	RAB6C	C8orf82	ARL6IP4	SLC25A18	ANKRD30BP2	
							TEX264			LOC100289511				DPPA3	OR10A5		DNAJA1P5	WDR17			OR4A5		TECPR1	ARL17A	OR6B3		AVEN	OGFRP1	POU5F2	FAM74A3	POLR1B	FER1L6-AS1	TAOK3	TBC1D10A	LIPI	
							TMA7			MIR1260A				NANOGNB	OR2AG1		HENMT1	SCLT1			OR4A16		POT1	CRLF3	LOC150935		ATP10A	LINC00207	STARD4	CNTNAP3B	RGPD5	AARD	POP5	KREMEN1	ABCC13	
							ZNF589			LOC100506321				LOC374443	DNHD1		MYSM1	C4orf33			OR4A15		PTCD1	SLC25A39	LINC01107		GJD2	LOC400927	WDR36	LOC728673	CHCHD5	LRRC24	ANAPC5	ZNRF3	LOC150051	
							HEMK1			LOC100506476				CLEC2A	SCGB1C1		OMA1	TMEM155			OR10W1		CNTNAP2	HIGD1B	LOC151174		STARD9	MIRLET7BHG	SOWAHA	ANKRD20A4	CCDC115	MIR151A	ANAPC7	ASCC2	LCA5L	
							IP6K2			LOC100506498				CLEC12B	C11orf42		GBP4	PABPC4L			OR10V2P		HYALP1	CDK12	ERFE		VPS18	LINC00898	SHROOM1	LOC730098	NIFK	NCRNA00250	TRIAP1	TMEM191A	IGSF5	
							SFMBT1			LOC100506603				RPL13AP20	NLRP6		GBP5	ADAD1			RAB1B		TES	KRT20	CCDC140		IGDCC4	IL17REL	C5orf24	FAM166B	C2orf40	SAMD12-AS1	NT5DC3	MYO18B	SIK1	
							NCKIPSD			LOC100506700				LINC00937	LOC171391		SSX2IP	ZFP42			C11orf68		GIMAP2	NLE1	SLC23A3		SQRDL	MIRLET7A3	DCANP1	CDKN2B-AS1	ZC3H8	ZFAT-AS1	VPS29	KLHL22	LINC00479	
							PHF7			SYNJ2BP-COX16				LOC400002	OR56B4		OLFM3	SPATA4			MS4A8		OR2F1	FNDC8	LINC00608		ZNF106	MIRLET7B	MGC32805	SNORD121A	ST6GAL2	HAS2-AS1	TPCN1	DGCR6L	ZNF295-AS1	
							TLR9			CHURC1-FNTB				MIR141	TOLLIP-AS1		WDR63	TRAM1L1			FERMT3		FBXO24	CWC25	GPBAR1		RFX7	MIR33A	CEP120	MIR876	IL1F10	LINC00051	SSH1	KIAA1656	UMODL1-AS1	
							LZTFL1			MIR4505				MIR200C	OR52B2		SLC44A3	ENPP6			TRPT1		SLC13A4	LRRC37A4P	SLC16A14		SPATA5L1	LINC00229	SLC25A48	MIR873	DDX11L2	TMEM75	RHOF	RIMBP3	PLAC4	
							P4HTM			MIR4708				ZNF705A	LMNTD2		ATXN7L2	ASB5			FRMD8		RNU6-1	SLFN12	LOC151475		CHAC1	DENND6B	SRFBP1	TOPORS-AS1	MFSD9	MROH6	VSIG10	KIAA1671	LINC00189	
							SLC6A20			MIR4709				FAM66C	OR51F1		C1orf194	ZNF827			RNASEH2C		COPG2	PNPO	LINC00471		ICE2	PIM3	ZMAT2	IZUMO3	SFT2D3	SCX	TESC	HPS4	C21orf91-OT1	
							IL17RD			MIR4706				DDX12P	OR51B5		ASB17	SH3D19			EIF1AD		HBP1	KLHL11	LOC151484		KATNBL1	SHISA8	ARSK	FAM205C	ZNF514	RAD21-AS1	PARPBP	SCARF2	LINC00314	
							ELP6			DIO2-AS1				SMCO3	KRT8P41		TYW3	MGAT4D			NUDT22		DNAJC2	RHOT1	MSL3P1		SLTM	ODF3B	FAM81B	FAM27E3	TMEM87B	FER1L6	SLC6A15	GGTLC2	KRTAP15-1	
							SNRK			MIR5694				LOH12CR2	SBF2-AS1		ERICH3	WWC2-AS2			SYVN1		TPK1	COPRS	DAW1		SNX22	PRR5-ARHGAP8	CCDC112	LOC100132249	LINC01101	MIR548D1	RIC8B	GUSBP11	DSCR9	
							QRICH1			LINC00911				POU5F1P3	CSNK2A3		LRRIQ3	FAM218A			MS4A14		SND1	ADAP2	C2orf57		ATP8B4	TBC1D22A-AS1	DCP2	FRG1HP	FER1L5	MIR661	APPL2	DERL3	DSCR10	
							PXK			LOC100996664				LOC642846	OR51V1		LRRC39	C4orf45			TRIM51		SND1-IT1	UTP6	TIGD1		WDR76	SYCE3	LIX1	GXYLT1P3	FAM95A	CASC8	SBNO1	IGLL3P	D21S2088E	
							SLC25A38			LOC101928075				FAM86FP	H19		C1orf87	SPATA5			LGALS12		DENND2A	GSDMB	LOC200772		TMEM62	FAM227A	ADAMTS19	FAM27C	CCDC74A	MROH1	DRAM1	LRP5L	LINC00307	
							ULK4			LOC101928123				PRB2	CRACR2B		SAMD13	BBS12			TNKS1BP1		ZNF777	ATXN7L3	CFAP65		SEMA6D	MIR658	SPATA24	FAM95B1	LOC90784	LINC00977	SVOP	RNF185	LINC00515	
							FEZF2			LOC101928143				SCARNA12	TMEM80		C1orf52	DCLK2			GAL3ST3		TMEM176B	PLXDC1	C2orf72		PIF1	MIR659	DNAJC18	FAM27B	CCDC74B	OC90	STAB2	ISX	LOC284825	
							EBLN2			LOC101928504				SCARNA11	OR10A4		TMEM56	TRIM60			AP5B1		HIPK2	LYZL6	RTP5		SPG11	LOC730668	LINC01554	FAM27E2	IMP4	LINC01300	VEZT	BMS1P20	KRTAP13-4	
							ANO10			LINC01467				CD27-AS1	OLFML1		NBPF4	FREM3			GLYATL1		WDR91	ARHGAP23	LOC285095		ELL3	LINC01310	LVRN	FAM95C	NEURL3	MIR937	GOLGA2P5	TUBA3FP	LINC00323	
							DALRD3			LOC101928767				SCARNA10	LOC283299		UBE2U	MMAA			CDCA5		REPIN1	FKBP10	RUFY4		PLEKHO2	LOC100130899	KIAA0825	MIR1299	LIMS3	MIR939	ZCCHC8	PIK3IP1	LINC00319	
							SHQ1			LOC101928791				MIR613	MRGPRG-AS1		SLC30A7	RBM46			RPLP0P2		HILPDA	C17orf75	DUSP28		POLR2M	NDUFA6-AS1	GPR150	LOC100506422	LINC00152	FAM83H-AS1	SCYL2	GAB4	AATBC	
							PBRM1			LOC101928909				MIR614	NLRP10		MGC27382	SYNPO2			SLC22A9		MDFIC	WNK4	MROH2A		VWA9	CHKB-AS1	DTWD2	EBLN3P	TUBA3E	CDC42P3	POLR3B	C22orf39	POTED	
							CHDH			LOC101929002				SKP1P2	NLRP14		IL23R	C4orf46			BATF2		PILRB	C17orf53	ESPNL		NIPA2	LINC00899	RGMB	MIR4477A	TUBA3D	LINC00861	CHFR	TANGO2	KRTAP7-1	
							IL17RB			MIR7641-2				SLC15A5	ANO9		GBP6	TIGD4			SLC22A12		PILRA	TMUB2	ECEL1P2		APH1B	MIR1249	LINC00491	MIR4667	FMNL2	CCDC166	FGD6	ZNF280A	KRTAP8-1	
							CACNA2D3			MIR7843				THCAT155	KRTAP5-AS1		PLPPR5	TMEM154			CATSPER1		FSCN3	DHX58	SPATA3-AS1		TLN2	MIR1281	RFESD	MIR4540	GALNT13	FAM83A-AS1	WSB2	SGSM1	KRTAP11-1	
							DCP1A			LOC102724153				SMIM10L1	KCNQ1-AS1		FNDC7	TMEM192			HRASLS5		ATP6V0A4	MMP28	CATIP		FAM96A	MIR3201	CHSY3	MIR4475	LYPD1	LOC100132813	NDUFA12	EMID1	KRTAP19-1	
							GLT8D1			LOC102724190				RNU7-1	B4GALNT4		KANK4	RWDD4			OR4C46		PNPLA8	DHRS11	RBM44		C15orf48	MIR3619	TMEM173	MIR4476	RPL23AP7	LOC100133669	DIABLO	SELM	KRTAP13-2	
							ZKSCAN7			LINC01269				MIR1244-1	OR52L1		SASS6	PRIMPOL			OR8I2		TAS2R3	PRR15L	AQP12A		C15orf41	MIR3667	FAM170A	FAM74A7	NMS	CASC11	ANKS1B	ZNF280B	KRTAP13-3	
							LMOD3			LINC01629				MIR1244-3	OR2AG2		HFM1	TRIML2			C11orf84		TAS2R4	TEFM	KLHL30		SPPL2A	LOC100506472	C5orf66-AS2	PTENP1-AS	LYG1	TONSL-AS1	CHPT1	CCT8L2	KRTAP23-1	
							SEMA3G			LOC105370586				MIR1244-2	OR52B6		ALG14	ELMOD2			GPHA2		TAS2R16	ACBD4	RESP18		ZFYVE19	LOC100506679	LOC340074	SNORD121B	MITD1	LOC100288181	TMCC3	XKR3	KRTAP6-1	
							KIF15			LOC105370605				KLRF2	OR10A2		LINC00466	CCDC110			OR8U1		FIS1	DCAKD	C2orf82		CGNL1	NUP50-AS1	FAM174A	DNAJB5-AS1	CNTNAP5	MIR1302-7	PITPNM2	LINC00895	KRTAP6-2	
							ADAMTS9			LOC105370619				LINC00987	OVCH2		TCTEX1D1	MFSD8			OR4C16		CPA4	GGNBP2	OR6B2		FRMD5	LINC01589	CATSPER3	LOC101926948	FBLN7	MIR1205	EP400	LINC00896	KRTAP6-3	
							PCBP4			LOC105370622				LOC100506159	PDDC1		SLC44A5	LINC01091			OR4C11		WNT16	ATAD5	ASB18		DISP2	MIR4763	SLCO4C1	LOC101927827	TRIM43	MIR1206	DHX37	AIFM3	KRTAP19-2	
							ABHD6							LOC100506314	GALNT18		EPHX4	CYP4V2			OR4S2		ACTL6B	MRM1	FLJ43879		CHRFAM7A	MIR4534	TICAM2	LOC101928195	ACMSD	MIR1207	FBRSL1	RIMBP3C	KRTAP19-3	
							LRTM1							KLRC4-KLRK1	MRGPRG		AKNAD1	F11-AS1			OR4C6		PRKAG2	PLEKHH3	MIR149		ULK4P3	MIR4762	DND1	LOC101928381	FAM168B	MIR1204	DDX55	YDJC	KRTAP19-4	
							C3orf14							PRH1-PRR4	KRTAP5-1		MCOLN2	LINC01098			OR5D14		ZC3HC1	DBF4B	MIR153-1		ULK4P1	MIR378I	TEX43	FOCAD-AS1	C2orf76	MIR1234	NTN4	ZDHHC8P1	KRTAP19-5	
							KIAA1143							MIR3974	KRTAP5-3		COL24A1	RNF175			OR5L1		SRRT	MYO19	MIR26B		ARHGAP11B	MIR4766	LOC389332	LOC101929563	LYPD6	MIR2053	TRPV4	C22orf15	KRTAP19-6	
							HHATL							RERG-AS1	KRTAP5-4		ST6GALNAC3	LOC339975			OR5D18		LUC7L2	CDK5RAP3	DNAJB3		DPH6	MIR4535	PROB1	LINC01241	LYPD6B	MIR1208	LHX5	HSCB	KRTAP19-7	
							WDR48							LOC101927905	IFITM5		NEGR1	TRIML1			OR7E5P		MRPS33	SP6	LOC440934		C15orf57	MIR5096	C5orf63	LOC101929583	TMEM182	MIR3686	SUDS3	CCDC117	KRTAP20-1	
							SELK							LOC101928030	FAM99A		FAM102B	LOC340017			OR5AS1		NUB1	COASY	MIR375		KNSTRN	EFCAB6-AS1	ANKHD1-EIF4EBP3	IFT74-AS1	TMEM37	MIR548AA1	ACTR6	HORMAD2	KRTAP20-2	
							PROK2							LOC101928100	OR56B1		SYPL2	PRSS48			OR8K5		LSM8	SRCIN1	LOC643387		BMF	APOBEC3B-AS1	NR2F1-AS1	LINC01243	TTL	MIR3610	C12orf43	DUSP18	KRTAP21-1	
							RNF123							LOC101928162	GVINP1		CYB561D1	ANKRD37			OR5T2		COPG2IT1	AARSD1	LOC646736		SHF	APOBEC3A_B	C5orf56	B4GALT1-AS1	CKAP2L	CCAT1	VPS33A	MORC2-AS1	KRTAP21-2	
							KIF9							PLBD1-AS1	OR52K1		ZNF326	LOC389247			OR8H1		GPR85	KRTAP1-3	PRSS56		DUOXA1	LOC101927257	IGIP	LINC01251	CBWD2	ASAP1-IT2	RSRC2	C22orf42	KRTAP22-1	
							CSRNP1							LINC01489	OR52I1		BTBD8	TRIM61			OR8K3		TAS2R5	KRTAP1-1	AQP12B		SNORD107	EP300-AS1	TIFAB	MIR6851	TEKT4	MINCR	AACS	CCDC116	KRTAP20-3	
							GORASP1							LOC101929549	OR51D1		LINC01140	HELT			OR8J1		CHPF2	KRTAP9-9	SNORA75		LDHAL6B	LOC101927447	RGMB-AS1	MIR6852	TISP43	ZHX1-C8orf76	NUP37	CABP7	LOC339622	
							CDCP1							LOC101929584	OR52A5		CCDC18	LINC01061			OR5R1		PUS7	KRTAP4-6	LOC654841		CHST14	LOC101927526	LOC553103	MIR6853	LINC01102	MIR4662A	DDX54	LINC00528	KRTAP12-2	
							CCDC71							LOC101930452	OR51B6		MYBPHL	C4orf3			OR5M3		ING3	KRTAP2-1	SCARNA6		CASC4	LL22NC03-75H12.2	CTXN3	LOC102723709	SMYD1	MIR4662B	NOC4L	RNF215	KRTAP12-1	
							NT5DC2							MIR7641-2	OR51M1		BARHL2	LINC01060			OR5M8		LRRN3	TTC25	SCARNA5		LACTB	MIR6820	ECSCR	LOC102724238	LINC01104	MIR4663	GNPTAB	PRR14L	KRTAP10-10	
							SLC26A6							LOC102724020	OR51Q1		MIGA1	FAM92A1P2			OR5M11		ALKBH4	KRTAP4-12	MIR562		TUBGCP5	MIR6821	TMEM232	LOC102724580	C2orf15	MIR4472-1	B3GNT4	BPIFC	PICSAR	
							CAMKV							CCND2-AS1	OR51I1		NEXN-AS1	GUSBP5			OR5AR1		NCAPG2	KRTAP1-5	D2HGDH		TGM7	MIR6889	ARL14EPL	LOC102725126	PROM2	MIR4664	TCTN1	TMEM211	LINC00317	
							LRRC2							LOC105369632	OR51I2		GBP7	LOC441052			OR5AK4P		CHCHD3	KRTAP3-1	LOC728323		CATSPER2	LINC01315	LINC01184	LINC01410	LINC00342	PCAT1	ACSS3	SEC14L3	COL18A1-AS1	
							FYCO1							LOC105369635	OR52D1		C1orf146	C4orf47			LRRC55		ZCWPW1	KRTAP3-2	LOC100129175		LEO1	LOC400927-CSNK1E	CCNI2	LOC103908605	GPAT2	MIR5194	OGFOD2	POM121L4P	KRTAP10-4	
							CCDC51							PRH1-TAS2R14	OR52H1		FAM69A	GALNTL6			SMTNL1		WDR60	KRTAP9-2	PP14571		MTFMT	MGAT3-AS1	SNORA13	LOC105376064	ITPRIPL1	LINC00536	VPS37B	RGL4	KRTAP10-6	
							THOC7								OR52N4		UOX	FRG2			YPEL4		RBM28	KRTAP9-3	LOC100286922		SLC51B	LOC105373031	MIR583	LOC105379450	LOC150776	CCAT2	BBS10	LOC284865	KRTAP10-7	
							WDR82								OR52N5		FRRS1	SLC7A11-AS1			MED19		C7orf43	KRTAP9-8	MIR1471		NIPA1	LOC105373044	SNHG4	XLOC_007697	WTH3DI	PRNCR1	C12orf49	MIF-AS1	KRTAP10-9	
							RTP3								OR52N2		C1orf141	LINC00616			OR6Q1		TMEM140	KRTAP17-1	MIR1244-1		PLA2G4E	LOC105373051	LINC00992		LINC01106	LINC01608	TCTN2	LOC284898	KRTAP10-1	
							LRRC2-AS1								OR52E6		GBP1P1	SLED1			OR9I1		GIMAP4	PPP1R1B	BOK-AS1		TRIM69	LOC105373100	CCDC192		SEPT10	LINC01609	NAA25	TTC28-AS1	KRTAP10-11	
							ATRIP								OR52E8		FLJ27354	TNRC18P1			OR9Q1		GIMAP5	TBC1D3F	MIR1244-3		PWAR1	SNORA92	MEIKIN		LOC151121	LOC101927513	SLC8B1	SEC14L4	KRTAP10-2	
							NICN1								OR52E4		MIR137HG	CEP170P1			OR9Q2		TMEM176A	RNF135	MIR1244-2		TERB2	SNORD140	VTRNA2-1		ARL6IP6	LOC101927543	CEP290	SLC35E4	KRTAP10-5	
							MON1A								OR56A3		MIR101-1	LOC645513			OR1S2		TRPV6	MIEN1	MIR3133		C2CD4A		MIR874		SULT1C2P1	LOC101927588	RNF34	LOC339666	KRTAP10-8	
							KBTBD8								OR56A5		MIR137	HHIP-AS1			OR1S1		AGK	MRPL45	MIR3131		FAM81A		KIAA1024L		FAHD2B	RNF139-AS1	CCDC92	PI4KAP2	KRTAP10-3	
							ABHD14B								OR10A6		MIR186	C4orf51			OR10Q1		METTL2B	VPS25	MIR4268		GCOM1		LOC100130172		LONRF2	LOC101927657	MTERF2	SDC4P	KRTAP12-3	
							POMGNT2								OR51T1		MIR197	FLJ38576			OR5B17		KMT2E	TMEM101	MIR3132		LOC145783		LOC100133050		CCDC138	LINC00824	PUS1	TPTEP1	KRTAP12-4	
							UCN2								OR51A4		MGC34796	SNORA24			OR5B21		BAIAP2L1	RAB11FIP4	MIR4269		C15orf65		LOC100289230		C1QL2	LOC101927798	ACAD10	CCDC188	KRTAP10-12	
							ZNF502								OR51A2		LHX8	MIR577			GLYATL2		BCAP29	GHDC	AGAP1-IT1		LOC145845		LOC100289673		FOXD4L1	LOC101927822	GLT8D2	LOC388882	LINC00320	
							RFT1								IFITM10		LINC01555	MIR578			MPEG1		MEPCE	KRTAP4-4	UBE2F-SCLY		TMCO5A		MIR1289-2		CFAP221	LOC101927845	KCTD10	LRRC75B	LOC388813	
							ZBTB47								MIR210		FLJ31662	LINC00290			OR5A2		TRPV5	TNS4	MIR4439		ZSCAN29		MIR548F3		VWA3B	LOC101927915	USP44	LOC391322	MIR99AHG	
							ACTR8								KRTAP5-5		GEMIN8P4	LOC728175			OR5A1		ANKRD7	FBXL20	MIR4777		TTBK2		MIR1244-1		CREG2	LOC101928087	SLC41A2	LRRC74B	KRTAP26-1	
							SLC25A26								KRTAP5-2		RBMXL1	LOC729218			OR4D6		ZC3HAV1	KRTAP9-4	MIR2467		CDAN1		MIR548P		TEX37	LOC101928160	LRRIQ1	BCRP2	LINC00316	
							ZNF501								KRTAP5-6		SPATA42	LOC729307			OR4D11		SLC12A9	KRTAP4-1	MIR4440		STRC		TMED7-TICAM2		ANKRD23	LOC101928902	METTL25	CHCHD10	ANKRD20A11P	
							GPR62								TMEM41B		NFIA-AS1	CETN4P			PATL1		SDHAF3	KRTAP4-5	MIR4786		DYX1C1		MIR2277		AMER3	MIR6846	TCHP	SRRD	LINC00114	
							FAM3D								LOC440028		LOC646626	FAM160A1			OOSP2		AKR1B10	KRTAP4-3	MIR4441		CSNK1A1P1		MIR1244-3		LINC00116	MIR6847	COQ5	MIR130B	LOC400867	
							LYZL4								TRIM6-TRIM34		SETSIP	LOC729870			MS4A15		SMURF1	KRTAP4-2	MIR5001		OTUD7A		MIR1244-2		NIFK-AS1	MIR6848	HVCN1	MIR185	MIRLET7C	
							KLHL40								TMEM9B-AS1		ACTG1P4	MIR3945HG			VWCE		ACTR3B	KRTAP3-3	MIR5702		SPRED1		MIR3655		LYG2	MIR7112	SRRM4	THAP7-AS1	MIR125B2	
							TMEM42								MIR483		NBPF6	SNHG8			CYB561A3		KIAA1147	KRTAP2-4	MIR5703		PGBD4		MIR3936		RNF149	MIR6850	CCDC62	P2RX6P	MIR155	
							IQCF1								SNORA3A		SCARNA2	SMARCA5-AS1			PPP1R32		STRIP2	LRRC46	LOC100996693		ADAL		MIR3661		LINC01114	MIR548AZ	KDM2B	RIMBP3B	MIR99A	
							GLYCTK								SNORA52		SNORD45C	SCOC-AS1			TIGD3		ESYT2	SCRN2	CAPN10-AS1		EXD1		LINC01024		LOC285000	MIR6844	CAPS2	PIWIL3	MGC39584	
							PPM1M								LOC644656		MIR553	CLDN24			LRRN4CL		ZNF398	AOC4P	LINC01237		FSIP1		STARD4-AS1		STARD7-AS1	MIR6893	UNC119B	MIAT	LOC642852	
							C3orf49								RASSF10		HSD52	PP12613			HNRNPUL2		KIAA1549	ZNF830	LOC101928111		RHOV		HNCAT21		LOC285074	MIR6845	USP30	DUXAP8	GRIK1-AS1	
							SNTN								TSSC2		LOC729930	DUX4			MS4A6E		NFE4	SLFN11	CATIP-AS1		FAM227B		LOC100505841		MED15P9	MIR6849	ORAI1	CCDC157	KRTAP24-1	
							SYNPR								SNORA23		LOC729970	MIR2054			SSSCA1-AS1		KMT2C	RASL10B	LINC01494		MGC15885		MIR4633		PLGLA	MIR7848	RNFT2	FAM230B	KRTAP27-1	
							LSMEM2								SNORA3B		LOC729987	MIR1305			EHBP1L1		EXOC4	G6PC3	LOC101928881		UBR1		MIR4461		RGPD4	CASC21	FAM222A	LOC642643	SNORA80A	
							ASB14								SNORA54		MIR760	MIR1973			SNX32		RINT1	ASB16	MIR6513		PATL2		MIR4454		FAM201B	CASC19	RITA1	BCRP3	MIR663A	
							FAM19A4								SNORD97		LINC01349	MIR548G			TSGA10IP		GALNT11	PGAP3	MIR6809		LPCAT4		MIR4460		SPOPL	PCAT2	FAM222A-AS1	TMEM191C	LINC00163	
							CCDC12								INS-IGF2		LOC100129046	LOC100419170			CNIH2		LRRC4	HSPB9	MIR6811		GOLGA2P11		LINC01023		CYP27C1	LINC01151	ANKRD13A	ADORA2A-AS1	SSR4P1	
							PPP4R2								MUC5B		LOC100129138	DBET			OOSP1		LMBR1	ORMDL3	MIR6810		PLA2G4F		MIR5692C1		KIAA1211L	MAFA-AS1	NAV3	POM121L10P	KRTAP19-8	
							CCDC13								ZBED5-AS1		LOC100129620	MIR548T			EML3		TMEM168	PLCD3	LOC102723927		LRRC57		MIR5706		NCKAP5	LOC105375713	TMEM116	LL22NC03-63E9.3	LINC01548	
							XIRP1								MIR675		LINC01135	MIR3140			TMEM151A		LINC00244	TMEM106A	MIR9500		LYSMD2		LINC00492		FOXI3	LOC105375734	UBE3B	PRAMENP	MIR802	
							PRICKLE2								MRVI1-AS1		CCDC18-AS1	MIR3139			C11orf31		NOM1	LRRC37B	CATIP-AS2		NUTM1		P4HA2-AS1		SH3RF3	LOC105375744	TMEM263	CES5AP1	RNA5-8S5	
							TTC21A								CAND1.11		ZRANB2-AS1	MIR4276			OR10AG1		MOSPD3	OSBPL7	LOC105373878		WDR72		NREP-AS1		GPR148	LOC105375773	C12orf29	GATSL3	RNA18S5	
							C3orf67								FAM99B		GNG12-AS1	MIR3945			OR5J2		GIGYF1	NT5C3B	LINC01173		HMGN2P46		C5orf66		ANKRD36	LOC105375787	C12orf65	FAM230A	RNA28S5	
							KCTD6								LINC01001		MIR548N	MIR3688-1			MAJIN		CCDC136	RFFL			SLC24A5		LOC101927023		WASH2P	LOC105375800	TMEM132C	GSTTP2	LINC00322	
							KLHDC8B								MRPL23-AS1		MIR1262	LINC01095			SLC25A45		PARP12	ZPBP2			PRTG		LOC101927059		RBM43		BICDL1	GSTT2B	LOC100129027	
							LINC00870								MIR302E		MIR3117	LINC01207			NEAT1		CREB3L2	SPATA32			LINC00926		LOC101927078		ZC3H6		SDSL	MIR648	KRTAP25-1	
							DNAH12								MIR4298		MIR3116-1	APELA			OR9G4		IFT22	HEXIM2			LOC283683		LOC101927100		SLC9A4		TMEM132B	MIR649	TEKT4P2	
							PDE12								MIR4299		MIR3116-2	LOC100506085			LOC283194		CYP3A43	LSM12			GOLGA6L2		LOC101927190		DPP10-AS1		OSBPL8	MIR650	LOC100133286	
							DENND6A								MTRNR2L8		MIR3671	LOC100506107			LINC00301		LRRC61	CCDC43			OR4N4		SEMA6A-AS1		LOC389033		IQCD	TMEM191B	KRTAP20-4	
							ZNF620								LOC100506082		SPATA1	LOC100506122			CCDC88B		C7orf49	CNTD1			LOC283710		HRAT56		LINC01120		LINC01257	PI4KAP1	KRTAP22-2	
							ALS2CL								MIR210HG		LINC01364	LINC01093			TTC9C		ZNF655	TMEM132E			FAM98B		LOC101927357		RGPD1		DEPDC4	LOC729461	KRTAP21-3	
							TMIE								LOC100506258		RTCA-AS1	LOC100506272			SLC22A24		PVRIG	SPACA3			PLA2G4D		LOC101927379		ANKRD36C		CCDC38	SEC14L6	IL10RB-AS1	
							EOGT								LINC00958		FPGT-TNNI3K	LOC100507487			RCOR2		GCC1	EFCAB13			HERC2P3		LOC101927421		LOC400997		C12orf45	DDTL	GRIK1-AS2	
							FBXW12								MIR4686		TMEM56-RWDD3	LINC00613			OR5F1		GAL3ST4	MRPL10			GOLGA6L1		LOC101927460		FLJ42351		TMEM132D	SNORD125	MIR4327	
							ENTPD3-AS1								MIR4485		MIR378G	LOC100507639			OR5AP2		PRKRIP1	GJD3			GOLGA8G		LOC101927488		NOC2LP2		SLC15A4	MIR301B	MIR548X	
							ZNF619								MIR4687		MIR4794	MIR4455			MS4A10		CBLL1	KRT222			GOLGA8IP		TH2LCRR		TEX41		NEDD1	LOC100128531	MIR3118-1	
							ZNF621								MIR5691		MIR4711	MIR4453			RTN4RL2		ZNF767P	KRT40			FBXL22		LOC101927934		MIR128-1		SLC9A7P1	CECR7	MIR3156-3	
							LINC00877								PANO1		MIR2682	MIR4454			FAM111B		CPED1	C17orf50			SNORD108		C5orf66-AS1		C2orf27B		IKBIP	CECR5-AS1	MIR3197	
							CCDC66								LOC101927503		MIR4423	MIR4799			TMEM179B		TTC26	SLFN13			SNORD109A		LOC101929696		ASTL		ASCL4	FLJ41941	MIR3687-1	
							TCAIM								LINC01150		NEGR1-IT1	MIR3688-2			MALAT1		ORAI2	SLC35G3			SNORD115-1		LOC101929710		ACTR3BP2		BTBD11	MIR1286	MIR3648-1	
							ZNF852								CD81-AS1		ZRANB2-AS2	LINC00499			ZFP91-CNTF		KDM7A	UNC45B			WHAMMP3		LOC101929719		LINC01123		SPIC	MIR1306	ITGB2-AS1	
							ZNF660								LOC101927708		DPYD-AS1	LOC100996286			SLC22A25		OR2AE1	CD300LG			GLDN		MIR6830		LOC440895		ANO4	MIR548J	LINC01549	
							KIF9-AS1								OLFM5P		DPYD-AS2	LOC100996694			SLC22A10		TSC22D4	KIF18B			FMN1		MIR6831		LINC01191		ALKBH2	MIR3200	PAXBP1-AS1	
							LINC00698								TUB-AS1		VAV3-AS1	IL21-AS1			SPDYC		TRIM56	RUNDC1			SNORD64		LOC102467212		FAR2P1		FOXN4	MIR3199-2	LINC00649	
							EIF4E3								LOC101928008		FOXD3-AS1	GTF2IP12			OR5D13		TMUB1	CRHR1-IT1			PWAR4		LOC102467213		LOC440910		SPPL3	MIR3198-1	LINC01426	
							CCDC36								LOC101928053		NFIA-AS2	LINC01365			OR5D16		ARMC10	LINC00974			PWARSN		LOC102467214		POTEKP		BRI3BP	MIR3199-1	LOC100506403	
							PRSS42								LOC101928132		LOC100996630	LOC101927087			OR5W2		IMMP2L	WIPF2			RBPMS2		LOC102467216		LOC442028		AMDHD1	IGLL5	CBR3-AS1	
							ZNF445								MIR6743		LOC100996635	LOC101927282			OR8H2		CTTNBP2	KRT25			ANKDD1A		LOC102467217		SULT1C3		GLIPR1L2	MIR3909	DSCAM-AS1	
							SPATA12								MIR8070		LINC01358	LOC101927305			OR8H3		ZNF394	TMEM99			LINC01193		LOC102467223		POTEE		RFLNA	MIR3653	LOC100507412	
							TOPAZ1								MIR7847		LOC101926944	LOC101927359			OR5T3		MYH16	SLFN5			MRPL42P5		LOC102467224		COA5		ZNF664	MIR3618	LINC00159	
