Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Karyotype band
ENSG00000253440	14	106369107	106369546	q32.33
ENSG00000254203	14	106367385	106367664	q32.33
ENSG00000230605	7	117264393	117264530	q31.2
ENSG00000258981	14	52117602	52117995	q22.1
ENSG00000270474	14	106356145	106356591	q32.33
ENSG00000253587	14	106344385	106344833	q32.33
ENSG00000276977	CHR_HSCHR2_3_CTG15	241849881	241858908	
ENSG00000279493	21	5011799	5017145	p12
ENSG00000258448	14	73068108	73068618	q24.2
ENSG00000279235	15	78906127	78906809	q25.1
ENSG00000225217	1	161606291	161608217	q23.3
ENSG00000179902	1	109105951	109113857	p13.3
ENSG00000279405	19	56480397	56483977	q13.43
ENSG00000145331	4	99546709	99564032	q23
ENSG00000261716	1	149844498	149850937	q21.2
ENSG00000243797	7	106372251	106770207	q22.3
ENSG00000279355	6	161160105	161161982	q26
ENSG00000026652	6	161129979	161274061	q26
ENSG00000226435	3	198053522	198080720	q29
ENSG00000185847	12	110936585	110958208	q24.11
ENSG00000258240	12	110951683	110957812	q24.11
ENSG00000218418	6	80064286	80070199	q14.1
ENSG00000278154	CHR_HSCHR19LRC_PGF2_CTG3_1	54361220	54378234	
ENSG00000258284	12	49594091	49594258	q13.12
ENSG00000144278	2	153871913	154453849	q23.3
ENSG00000197562	16	589357	629272	p13.3
ENSG00000099804	19	531712	542092	p13.3
ENSG00000197360	19	22391019	22532485	p12
ENSG00000268038	19	22615557	22623971	p12
ENSG00000282027	CHR_HSCHR8_1_CTG6	57272990	57278377	
ENSG00000223652	5	123087248	123090299	q23.2
ENSG00000211947	14	106235064	106235594	q32.33
ENSG00000267703	19	16440946	16443584	p13.11
ENSG00000187957	2	229357629	229714558	q36.3
ENSG00000253883	14	106196700	106196990	q32.33
ENSG00000270487	6	156780327	156780455	q25.3
ENSG00000269505	19	22128627	22130318	p12
ENSG00000225270	7	55798034	55798876	p11.2
ENSG00000181830	11	45804072	45813015	p11.2
ENSG00000248323	5	91054834	91314547	q14.3
ENSG00000262006	17	50909637	50910232	q21.33
ENSG00000243521	17	50847950	50849270	q21.33
ENSG00000100387	22	40951347	40973309	q13.2
ENSG00000268836	16	185748	186294	p13.3
ENSG00000256825	12	133130984	133202369	q24.33
ENSG00000254514	11	45582525	45583474	p11.2
ENSG00000205864	11	1697195	1697755	p15.5
ENSG00000275875	7	55741525	55741869	p11.2
ENSG00000196224	11	1607565	1608463	p15.5
ENSG00000206172	16	176680	177522	p13.3
ENSG00000255845	11	60813932	60821739	q12.2
ENSG00000188389	2	241849881	241858908	q37.3
ENSG00000232628	1	224208747	224213279	q42.11
ENSG00000235151	2	241844380	241845036	q37.3
ENSG00000267277	19	11368123	11374935	p13.2
ENSG00000255057	11	130008586	130009765	q24.3
ENSG00000274271	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	54700593	54700905	
ENSG00000272645	1	223951394	223992594	q42.11
ENSG00000049618	6	156776020	157210779	q25.3
ENSG00000220913	6	160905770	160913638	q26
ENSG00000228510	9	128444587	128446628	q34.11
ENSG00000184178	4	52872982	53366075	q12
ENSG00000253412	14	106142287	106142577	q32.33
ENSG00000211942	14	106129540	106130072	q32.33
ENSG00000279959	19	56127236	56127466	q13.43
ENSG00000211934	14	105986582	105987083	q32.33
ENSG00000271968	14	105969729	105972269	q32.33
ENSG00000185129	5	140107777	140125619	q31.3
ENSG00000214025	2	153158938	153159683	q23.3
ENSG00000226213	2	152876820	152877767	q23.3
ENSG00000273002	1	155978799	155982986	q22
ENSG00000121940	1	108929508	108963457	p13.3
ENSG00000241104	19	43211791	43248646	q13.31
ENSG00000281213	CHR_HSCHR2_2_CTG15	241970683	241977276	
ENSG00000228775	7	141704338	141738346	q34
ENSG00000285629	1	6159430	6197757	p36.31
ENSG00000238098	16	2339150	2426699	p13.3
ENSG00000228755	10	42279734	42281819	q11.21
ENSG00000187791	9	34889064	34895778	p13.3
ENSG00000218766	6	85868953	85869464	q14.3
ENSG00000178078	19	4324043	4342786	p13.3
ENSG00000176243	3	96776945	96777683	q11.2
ENSG00000270923	7	141787815	141788640	q34
ENSG00000127364	7	141778442	141780819	q34
ENSG00000158458	5	139846779	140043299	q31.2
ENSG00000160094	1	33256545	33300719	p35.1
ENSG00000272622	2	226800146	226811029	q36.3
ENSG00000230532	17	48931791	48937100	q21.32
ENSG00000159210	17	48929316	48945117	q21.32
ENSG00000198670	6	160531483	160664259	q26
ENSG00000232679	1	222041705	222064763	q41
ENSG00000282907	16	568837	576257	p13.3
ENSG00000279809	2	233865496	233867359	q37.1
ENSG00000234937	1	155845367	155846624	q22
ENSG00000281365	20	48471308	48472414	q13.13
ENSG00000162032	16	1776712	1793700	p13.3
ENSG00000236874	20	48383323	48384895	q13.13
ENSG00000225050	9	118687752	118705960	q33.1
ENSG00000163879	1	37556919	37566857	p34.3
ENSG00000254200	5	173225836	173226423	q35.1
ENSG00000234782	9	118082869	118083382	q33.1
ENSG00000249501	Y	18776279	18779427	q11.222
ENSG00000258360	12	38206231	38207192	q12
ENSG00000220311	6	79964215	79964519	q14.1
ENSG00000218582	6	79953005	79954011	q14.1
ENSG00000232436	1	221508559	221510979	q41
ENSG00000111231	12	110452484	110469268	q24.11
ENSG00000234754	1	221330080	221336296	q41
ENSG00000109906	11	114059593	114250676	q23.2
ENSG00000226211	1	221133865	221134221	q41
ENSG00000257551	1	220832763	220880140	q41
ENSG00000134697	1	37566816	37595935	p34.3
ENSG00000101842	X	108044970	108079184	q22.3
ENSG00000241815	3	96566357	96567103	q11.2
ENSG00000271671	3	96244732	96245335	q11.2
ENSG00000118526	6	133889138	133895553	q23.2
ENSG00000116254	1	6101793	6180123	p36.31
ENSG00000231414	2	70253855	70254010	p13.3
ENSG00000214815	7	138440690	138442238	q33
ENSG00000230682	7	94782886	94783525	q21.3
ENSG00000186205	1	220786759	220819657	q41
ENSG00000251201	5	115578642	115626161	q22.3
ENSG00000263369	17	32106330	32114125	q11.2
ENSG00000265574	17	32111562	32112590	q11.2
ENSG00000225559	7	138163440	138164637	q33
ENSG00000170925	X	107980864	107982370	q22.3
ENSG00000284977	9	117759455	117879988	q33.1
ENSG00000172992	17	45023340	45061109	q21.31
ENSG00000284484	16	75660227	75677009	q23.1
ENSG00000164919	8	99873200	99894062	q22.2
ENSG00000082516	5	154887416	154938209	q33.2
ENSG00000143107	1	108712657	108742740	p13.3
ENSG00000226927	1	220359731	220360183	q41
ENSG00000205302	5	122774996	122830108	q23.2
ENSG00000255122	8	12580287	12581063	p23.1
ENSG00000254158	5	178997969	178998815	q35.3
ENSG00000234206	6	107509803	107511721	q21
ENSG00000126882	9	131258076	131276547	q34.13
ENSG00000181513	17	45132600	45144181	q21.31
ENSG00000234793	2	241754793	241755740	q37.3
ENSG00000134186	1	108692323	108701803	p13.3
ENSG00000165389	14	34432789	34462356	q13.1
ENSG00000267689	19	55705978	55706172	q13.42
ENSG00000113262	5	178977587	178996206	q35.3
ENSG00000276518	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	54771247	54784650	
ENSG00000120903	8	27459761	27479883	p21.2
ENSG00000249726	Y	18386974	18389151	q11.222
ENSG00000178187	5	178941191	178966433	q35.3
ENSG00000285936	14	72701762	72704280	q24.2
ENSG00000113734	5	173144442	173164387	q35.1
ENSG00000263709	17	29140483	29155489	q11.2
ENSG00000170473	12	55901413	55932618	q13.2
ENSG00000138772	4	78551519	78610451	q21.21
ENSG00000270982	9	101449801	101449933	q31.1
ENSG00000170540	16	18791667	18801678	p12.3
ENSG00000074771	6	155395370	155455903	q25.3
ENSG00000213328	5	178909710	178910609	q35.3
ENSG00000117598	1	98890245	99005032	p21.3
ENSG00000013441	2	200853009	200864744	q33.1
ENSG00000268050	9	129175807	129177575	q34.11
ENSG00000259820	8	134792020	134798272	q24.22
ENSG00000267581	19	19761038	19821716	p13.11
ENSG00000233569	9	117648606	117657027	q33.1
ENSG00000279518	8	134783694	134785879	q24.22
ENSG00000172403	4	118850688	119061247	q26
ENSG00000249131	5	139741349	139746223	q31.2
ENSG00000260617	16	88741631	88742367	q24.3
ENSG00000185038	2	233775679	233833423	q37.1
ENSG00000237423	20	47980488	47988744	q13.13
ENSG00000121274	16	50152918	50235310	q12.1
ENSG00000274813	5	178825382	178825571	q35.3
ENSG00000129824	Y	2841486	2932000	p11.2
ENSG00000236926	CHR_HSCHR6_MHC_MCF_CTG1	29707877	29708299	
ENSG00000158022	1	26051304	26068436	p36.11
ENSG00000267095	17	60135762	60140081	q23.1
ENSG00000229251	7	84983556	84984506	q21.11
ENSG00000232019	7	84939349	84940245	q21.11
ENSG00000008197	6	50713828	50772988	p12.3
ENSG00000235243	7	84847877	84848253	q21.11
ENSG00000259388	15	49794246	49796097	q21.2
ENSG00000235139	7	84532476	84584322	q21.11
ENSG00000234422	1	96418594	96418933	p21.3
ENSG00000261040	17	60083566	60091885	q23.1
ENSG00000272512	1	995966	998051	p36.33
ENSG00000179136	17	12549782	12642854	p12
ENSG00000229372	1	43447776	43448644	p34.2
ENSG00000097033	1	86704570	86748184	p22.3
ENSG00000282265	1	215393646	215394418	q41
ENSG00000241825	12	68684595	68686308	q15
ENSG00000229497	7	43767290	43767599	p13
ENSG00000219553	6	149491567	149492289	q25.1
ENSG00000213386	5	172762521	172763258	q35.1
ENSG00000197483	19	55476332	55484487	q13.42
ENSG00000269859	19	55475983	55476482	q13.42
ENSG00000178199	6	149446795	149485061	q25.1
ENSG00000265790	17	20901939	20902680	p11.2
ENSG00000233132	8	7264526	7267536	p23.1
ENSG00000185158	17	32007872	32053504	q11.2
ENSG00000258053	12	71047402	71118247	q21.1
ENSG00000231930	8	7200756	7200857	p23.1
ENSG00000167555	19	52397849	52418412	q13.41
ENSG00000275484	11	67374416	67374932	q13.2
ENSG00000276625	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1	54769794	54784109	
ENSG00000223766	CHR_HSCHR6_MHC_MANN_CTG1	30601522	30608359	
ENSG00000237740	10	87376896	87378481	q23.2
ENSG00000216636	6	34616538	34617258	p21.31
ENSG00000283199	13	113953705	113974079	q34
ENSG00000214360	5	172194172	172203452	q35.1
ENSG00000234120	8	7112314	7113728	p23.1
ENSG00000234461	CHR_HSCHR6_MHC_DBB_CTG1	31020962	31025761	
ENSG00000228744	8	7122857	7123704	p23.1
ENSG00000151812	14	57563922	57982194	q23.1
ENSG00000164451	6	116529013	116558868	q22.1
ENSG00000258856	14	57629841	57631162	q23.1
ENSG00000275854	12	32736930	32737660	p11.21
ENSG00000234117	6	116492297	116497099	q22.1
ENSG00000249166	5	10493291	10494094	p15.2
ENSG00000283434	3	88338413	88467562	p11.1
ENSG00000203408	12	55376742	55378797	q13.2
ENSG00000129646	17	76274049	76307998	q25.1
ENSG00000238242	1	60114875	60149679	p32.1
ENSG00000226476	1	60515716	60640491	p32.1
ENSG00000267927	19	52171158	52177002	q13.41
ENSG00000249326	5	1887332	1900493	p15.33
ENSG00000272430	10	46632387	46635472	q11.22
ENSG00000237591	CHR_HSCHR6_MHC_DBB_CTG1	32434517	32448172	
ENSG00000271053	4	116858093	116858973	q26
ENSG00000256440	12	25831416	25834182	p12.1
ENSG00000256256	12	25882955	25885855	p12.1
ENSG00000251258	6	112347330	112351296	q21
ENSG00000145020	3	49416775	49422753	p21.31
ENSG00000105392	19	47819779	47843330	q13.33
ENSG00000135318	6	85449584	85495791	q14.3
ENSG00000167695	17	732412	742972	p13.3
ENSG00000279490	16	17082295	17085049	p12.3
ENSG00000166902	11	59806135	59810872	q12.1
ENSG00000278200	17	81480523	81481570	q25.3
ENSG00000273542	6	27831216	27831527	p22.1
ENSG00000276368	6	27814354	27814740	p22.1
ENSG00000261362	16	16541217	16541847	p13.11
ENSG00000254613	11	123839035	123841930	q24.1
ENSG00000275286	12	44498616	44499158	q12
ENSG00000152484	13	27066142	27171896	q12.13
ENSG00000257864	12	44248432	44249004	q12
ENSG00000232800	2	20386386	20396588	p24.1
ENSG00000257947	12	44244394	44263982	q12
ENSG00000144821	3	108380369	108529322	q13.13
ENSG00000242246	6	153666466	153666666	q25.2
ENSG00000217160	6	153665707	153666390	q25.2
ENSG00000237994	X	28942050	28942568	p21.3
ENSG00000100722	14	88562909	88627596	q31.3
ENSG00000116096	2	72887360	72892158	p13.2
ENSG00000231119	20	47352561	47354633	q13.12
ENSG00000224789	2	120174885	120216544	q14.2
ENSG00000153563	2	86784610	86808396	p11.2
ENSG00000224514	3	13650696	13746637	p25.1
ENSG00000273824	12	68426331	68427737	q15
ENSG00000111671	12	6870935	6889358	p13.31
ENSG00000258784	14	55748208	55773203	q22.3
ENSG00000250608	3	131325092	131381475	q22.1
ENSG00000270165	16	67738588	67739922	q22.1
ENSG00000166821	15	89677764	89690783	q26.1
ENSG00000172009	19	2785460	2815807	p13.3
ENSG00000111203	12	2812622	2859791	p13.33
ENSG00000115008	2	112773915	112784590	q14.1
ENSG00000238056	CHR_HSCHR6_MHC_APD_CTG1	32215364	32221379	
ENSG00000255669	12	2761200	2775658	p13.33
ENSG00000277342	12	32109076	32109602	p11.21
ENSG00000071677	2	237566574	237567175	q37.3
ENSG00000188501	15	66547179	66565979	q22.31
ENSG00000218792	6	152705735	152706128	q25.2
ENSG00000262158	16	10723836	10724617	p13.13
ENSG00000168010	11	72814308	72843674	q13.4
ENSG00000262107	16	10719833	10720015	p13.13
ENSG00000117266	1	205504595	205532793	q32.1
ENSG00000119866	2	60450520	60555154	p16.1
ENSG00000233953	2	60495686	60499964	p16.1
ENSG00000226235	1	205373252	205387440	q32.1
ENSG00000279827	19	8444570	8445597	p13.2
ENSG00000168214	4	26163455	26435131	p15.2
ENSG00000260212	6	127659424	127660338	q22.33
ENSG00000219699	6	127659690	127660579	q22.33
ENSG00000234163	10	33023368	33023647	p11.22
ENSG00000142686	1	35713875	35719472	p34.3
ENSG00000162873	1	205336065	205357090	q32.1
ENSG00000258467	14	36533506	36534538	q13.3
ENSG00000231203	2	183071040	183072486	q32.1
ENSG00000238195	22	27204211	27205126	q12.1
ENSG00000231388	X	26496936	26505603	p21.3
ENSG00000105364	19	10251901	10260045	p13.2
ENSG00000240389	CHR_HSCHR6_MHC_APD_CTG1	32231591	32235290	
ENSG00000279861	19	47487638	47489519	q13.32
ENSG00000223970	7	53002420	53003429	p12.1
ENSG00000146938	X	5840637	6228863	p22.31
ENSG00000277795	5	141259235	141261364	q31.3
ENSG00000236714	5	142745600	142760998	q31.3
ENSG00000261864	16	68077340	68122271	q22.1
ENSG00000157637	17	81245000	81295547	q25.3
ENSG00000164815	7	104126341	104208047	q22.2
ENSG00000274221	CHR_HSCHR17_7_CTG4	36088598	36090511	
ENSG00000153060	16	10627501	10694945	p13.13
ENSG00000133433	22	23957414	23961186	q11.23
ENSG00000223722	12	31754720	31755121	p11.21
ENSG00000256482	12	24830421	24836558	p12.1
ENSG00000283020	20	29878636	29879363	q11.1
ENSG00000265975	17	8967523	8976995	p13.1
ENSG00000285907	9	89563537	89604687	q22.2
ENSG00000283005	20	29746181	29748090	q11.1
ENSG00000257105	12	8987175	8996566	p13.31
ENSG00000139187	12	8950044	9010760	p13.31
ENSG00000214866	2	3703592	3847411	p25.3
ENSG00000224661	2	3702585	3704153	p25.3
ENSG00000225903	1	39633416	39633903	p34.2
ENSG00000283573	6	43803193	43842625	p21.1
ENSG00000126067	1	35599544	35641844	p34.3
ENSG00000270509	6	67933485	67934682	q12
ENSG00000232185	1	115564601	115565432	p13.1
ENSG00000241923	4	140366240	140366861	q31.1
ENSG00000134200	1	115029824	115034309	p13.2
ENSG00000253472	5	151378003	151378640	q33.1
ENSG00000233403	X	25878339	25893544	p21.3
ENSG00000196951	4	140283724	140373381	q31.1
ENSG00000253682	8	92403545	92413645	q22.1
ENSG00000271494	5	151380341	151382381	q33.1
ENSG00000278823	CHR_HSCHR16_1_CTG1	15519415	15710184	
ENSG00000260468	16	10514842	10528202	p13.13
ENSG00000231573	CHR_HSCHR6_MHC_SSTO_CTG1	33389703	33395155	
ENSG00000077092	3	25174332	25597932	p24.2
ENSG00000236473	17	41448183	41454055	q21.2
ENSG00000229421	3	25441164	25441502	p24.2
ENSG00000234785	X	115702811	115704120	q23
ENSG00000213877	3	25324174	25324659	p24.2
ENSG00000236110	9	36021692	36022113	p13.3
ENSG00000152936	12	25409307	25648579	p12.1
ENSG00000019995	10	124942123	124988189	q26.13
ENSG00000022976	14	102317377	102342702	q32.31
ENSG00000280613	CHR_HSCHR22_2_CTG1	42090931	42148836	
ENSG00000277224	6	26199520	26200715	p22.2
ENSG00000158373	6	26158146	26171349	p22.2
ENSG00000184144	1	205042937	205078284	q32.1
ENSG00000216331	6	26195554	26196633	p22.2
ENSG00000224516	2	232379635	232381674	q37.1
ENSG00000237734	9	27391734	27397563	p21.2
ENSG00000117151	1	84549606	84574480	p22.3
ENSG00000282556	11	6319141	6346309	p15.4
ENSG00000230037	2	136329441	136329913	q22.1
ENSG00000279024	2	136230753	136233245	q22.1
ENSG00000239291	17	47159191	47159993	q21.32
ENSG00000214736	6	41787662	41789898	p21.1
ENSG00000282807	19	71778	72718	p13.3
ENSG00000177839	5	141187127	141191541	q31.3
ENSG00000153902	19	35124513	35142451	q13.12
ENSG00000198625	1	204516379	204558120	q32.1
ENSG00000239415	21	46251549	46254133	q22.3
ENSG00000228137	21	46246890	46247682	q22.3
ENSG00000160294	21	46235126	46286297	q22.3
ENSG00000244926	11	43909292	43920944	p11.2
ENSG00000131652	16	3024027	3027755	p13.3
ENSG00000245522	11	9754770	9759533	p15.4
ENSG00000235222	CHR_HSCHR6_MHC_COX_CTG1	31727390	31750052	
ENSG00000170689	17	48621159	48626356	q21.32
ENSG00000233952	7	45997540	45998071	p12.3
ENSG00000237471	7	45969657	45980191	p12.3
ENSG00000239715	7	174920	176013	p22.3
ENSG00000165556	13	27962137	27971139	q12.2
ENSG00000282894	20	29324092	29325049	q11.1
ENSG00000176754	1	204032447	204041265	q32.1
ENSG00000259152	15	27422381	27428338	q12
ENSG00000280722	CHR_HSCHR6_1_CTG5	170423462	170428648	
ENSG00000232926	22	19887289	19887970	q11.21
ENSG00000255867	12	31589923	31615666	p11.21
ENSG00000275769	12	31443792	31444208	p11.21
ENSG00000256159	12	31477506	31477987	p11.21
ENSG00000214254	15	27208089	27208635	q12
ENSG00000282949	20	29321310	29321666	q11.1
ENSG00000250347	5	142036707	142037125	q31.3
ENSG00000183862	X	151738451	151745304	q28
ENSG00000246316	5	114488997	114668410	q22.3
ENSG00000185372	5	181123122	181131169	q35.3
ENSG00000182352	17	74584679	74594209	q25.1
ENSG00000165810	5	181040225	181061523	q35.3
ENSG00000219453	6	23649496	23649774	p22.3
ENSG00000270321	3	177954066	177959798	q26.32
ENSG00000235743	6	23337711	23346560	p22.3
ENSG00000235387	9	35909483	35937153	p13.3
ENSG00000251212	4	17061878	17062165	p15.32
ENSG00000260005	17	81228707	81233983	q25.3
ENSG00000249998	4	16973275	17073903	p15.32
ENSG00000171877	15	43870761	44195252	q15.3
ENSG00000116748	1	114673090	114695618	p13.2
ENSG00000268144	19	51396755	51403526	q13.41
ENSG00000213716	5	95973041	95973446	q15
ENSG00000239862	2	89297264	89297785	p11.2
ENSG00000268996	9	137084946	137086817	q34.3
ENSG00000228599	22	40106325	40107066	q13.1
ENSG00000281722	CHR_HSCHR22_1_CTG7	23976905	23977589	
ENSG00000196981	3	122412332	122416051	q21.1
ENSG00000254000	8	123924759	123925933	q24.13
ENSG00000228593	20	25919499	25919681	p11.1
ENSG00000224746	7	135926455	135932881	q33
ENSG00000231547	1	202999738	203000352	q32.1
ENSG00000131828	X	19343893	19361705	p22.12
ENSG00000203266	20	57114915	57122092	q13.31
ENSG00000101868	X	24693919	24996986	p22.11
ENSG00000179846	19	45149750	45158737	q13.32
ENSG00000255190	11	49874945	49876638	p11.12
ENSG00000170684	19	45071500	45076588	q13.32
ENSG00000159348	1	202961869	202967280	q32.1
ENSG00000267044	19	45135993	45136977	q13.32
ENSG00000203760	6	126340174	126348875	q22.32
ENSG00000215113	X	71763424	71767204	q13.1
ENSG00000142252	19	45079195	45091524	q13.32
ENSG00000257267	18	35290282	35328390	q12.2
ENSG00000105327	19	47220822	47232766	q13.32
ENSG00000261202	22	40043068	40044530	q13.1
ENSG00000235805	3	44709311	44710886	p21.31
ENSG00000168918	2	233059967	233207903	q37.1
ENSG00000250362	5	95861786	95874519	q15
ENSG00000184774	1	202820266	202827225	q32.1
ENSG00000156931	3	184812143	185052614	q27.2
ENSG00000283632	19	45212621	45245431	q13.32
ENSG00000254496	11	49406190	49406714	p11.12
ENSG00000160131	X	151396515	151409364	q28
ENSG00000123447	11	49405091	49415789	p11.12
ENSG00000224825	9	74485551	74499127	q21.13
ENSG00000108516	17	41334632	41335733	q21.2
ENSG00000260520	16	71513863	71517849	q22.2
ENSG00000180919	11	6107684	6108835	p15.4
ENSG00000175573	11	65916808	65919117	q13.1
ENSG00000243290	2	89040224	89040745	p11.2
ENSG00000163746	3	146391421	146495991	q24
ENSG00000247324	16	71462278	71465941	q22.2
ENSG00000275198	14	90383365	90387973	q32.11
ENSG00000277924	CHR_HSCHR19LRC_PGF1_CTG3_1	54668491	54683019	
ENSG00000242571	14	90366697	90367179	q32.11
ENSG00000256176	12	31311617	31312029	p11.21
ENSG00000285715	10	122017982	122019160	q26.13
ENSG00000206504	CHR_HSCHR6_MHC_QBL_CTG1	29964492	29967793	
ENSG00000278522	15	21408243	21440451	q11.2
ENSG00000266237	18	26266009	26267409	q11.2
ENSG00000231063	2	210088226	210089064	q34
ENSG00000230684	9	129933536	129936541	q34.11
ENSG00000198015	12	93467488	93516213	q22
ENSG00000243336	CHR_HSCHR6_MHC_QBL_CTG1	29996088	29999447	
ENSG00000177359	12	31111652	31201235	p11.21
ENSG00000284666	1	5480787	5482028	p36.31
ENSG00000105707	19	35040506	35066571	q13.11
ENSG00000258413	14	55262767	55272075	q22.3
ENSG00000060339	10	68721012	68792377	q21.3
ENSG00000247381	13	27819376	27917298	q12.2
ENSG00000164164	4	145110838	145180161	q31.21
ENSG00000237316	22	34711908	34724919	q12.3
ENSG00000043462	5	170246237	170298227	q35.1
ENSG00000075131	15	66336206	66386746	q22.31
ENSG00000250166	12	22601425	22618867	p12.1
ENSG00000187272	17	41238045	41239004	q21.2
ENSG00000250613	4	10410996	10411644	p16.1
ENSG00000278874	5	10070531	10070841	p15.2
ENSG00000240542	17	41189887	41190639	q21.2
ENSG00000229871	1	56207567	56208456	p32.2
ENSG00000115850	2	135787840	135837180	q21.3
ENSG00000146166	6	63275951	63319977	q12
ENSG00000171396	17	41159651	41160731	q21.2
ENSG00000198090	17	41139433	41140487	q21.2
ENSG00000285526	19	35106510	35124297	q13.12
ENSG00000267506	17	77546940	77563243	q25.3
ENSG00000285713	4	144210701	145098174	q31.21
ENSG00000233061	1	83979118	83984300	p31.1
ENSG00000105204	19	39825350	39834201	q13.2
ENSG00000236490	CHR_HSCHR6_MHC_DBB_CTG1	33277619	33292309	
ENSG00000148604	10	84245053	84259960	q23.1
ENSG00000236836	X	24650073	24658237	p22.11
ENSG00000243970	1	39522280	39559671	p34.3
ENSG00000258600	14	83017106	83018144	q31.1
ENSG00000213742	20	25624045	25678074	p11.21
ENSG00000271843	3	64008082	64008692	p14.1
ENSG00000235485	22	34589085	34591278	q12.3
ENSG00000182742	17	48575513	48580111	q21.32
ENSG00000145741	5	73498408	73505635	q13.2
ENSG00000267409	18	79610747	79612303	q23
ENSG00000233228	1	92066306	92067839	p22.1
ENSG00000233548	X	145176582	145176894	q27.3
ENSG00000162384	1	53214099	53220617	p32.3
ENSG00000110911	12	50979401	51028566	q13.12
ENSG00000238003	1	201978642	201978949	q32.1
ENSG00000221886	5	160393148	160400097	q33.3
ENSG00000285749	3	51798803	51830856	p21.2
ENSG00000257605	12	53298655	53300314	q13.13
ENSG00000261593	1	47000898	47001087	p33
ENSG00000258559	14	74289127	74294425	q24.3
ENSG00000259832	1	46967679	46967874	p33
ENSG00000270612	5	160326693	160326969	q33.3
ENSG00000254373	5	160258253	160258585	q33.3
ENSG00000168175	14	55051631	55070192	q22.3
ENSG00000254612	11	127940913	127941654	q24.3
ENSG00000253772	5	160247517	160248217	q33.3
ENSG00000110429	11	33740939	33774543	p13
ENSG00000259623	17	41848518	41851447	q21.2
ENSG00000129167	11	18017564	18042426	p15.1
ENSG00000255866	12	65559591	65560889	q14.3
ENSG00000215208	12	65418731	65420027	q14.3
ENSG00000123594	X	13318236	13320399	p22.2
ENSG00000265240	18	67830671	67831967	q22.1
ENSG00000264054	18	67137611	67137751	q22.1
ENSG00000226025	19	39679374	39686373	q13.2
ENSG00000251151	12	53981509	53985519	q13.13
ENSG00000275498	CHR_HSCHR16_1_CTG1	15058498	15122225	
ENSG00000259330	15	40323664	40326715	q15.1
ENSG00000260638	CHR_HSCHR6_MHC_QBL_CTG1	29797597	29799601	
ENSG00000261996	17	6653464	6655009	p13.1
ENSG00000229239	1	23670294	23680259	p36.11
ENSG00000228806	7	155106400	155106651	q36.2
ENSG00000273335	18	9473421	9474006	p11.22
ENSG00000220575	7	155067067	155071557	q36.2
ENSG00000229975	13	102002125	102003310	q33.1
ENSG00000182048	11	3609901	3637559	p15.4
ENSG00000155096	8	102826357	102893864	q22.3
ENSG00000151725	4	184694618	184734133	q35.1
ENSG00000196091	12	101568353	101686018	q23.2
ENSG00000187630	14	23969874	24006408	q11.2
ENSG00000249641	12	53935328	53939643	q13.13
ENSG00000240549	3	63860645	63861819	p14.1
ENSG00000259615	15	89579765	89582297	q26.1
ENSG00000224479	3	63741827	63827445	p14.1
ENSG00000270098	4	71434405	71437924	q13.3
ENSG00000115295	2	29097705	29189643	p23.2
ENSG00000231949	1	30415825	30421108	p35.2
ENSG00000236335	1	30409560	30411638	p35.2
ENSG00000105671	19	18919675	18928633	p13.11
ENSG00000231251	1	30226523	30226615	p35.2
ENSG00000269019	19	18940322	18946831	p13.11
ENSG00000075290	10	100463041	100483744	q24.31
ENSG00000229361	11	49081907	49083097	p11.12
ENSG00000254801	11	49070752	49071000	p11.12
ENSG00000229364	CHR_HSCHR6_MHC_SSTO_CTG1	29897735	29898101	
ENSG00000245729	5	8333481	8457558	p15.31
ENSG00000272049	5	8444949	8445535	p15.31
ENSG00000227770	2	38231568	38232317	p22.2
ENSG00000243215	CHR_HSCHR6_MHC_SSTO_CTG1	33039313	33061428	
ENSG00000164332	5	159263081	159286040	q33.3
ENSG00000241359	3	63423596	63550051	p14.2
ENSG00000225256	Y	25699451	25702562	q11.23
ENSG00000217094	10	32188323	32188817	p11.22
ENSG00000148335	9	129608884	129636131	q34.11
ENSG00000171169	9	128061233	128068206	q34.11
ENSG00000261212	X	141173235	141173588	q27.1
ENSG00000259167	14	81032529	81033404	q31.1
ENSG00000065923	X	46599252	46759172	p11.3
ENSG00000204221	CHR_HSCHR6_MHC_COX_CTG1	33200708	33211131	
ENSG00000229601	X	71413834	71414086	q13.1
ENSG00000242545	3	59464330	59510678	p14.2
ENSG00000233834	7	20217577	20221700	p21.1
ENSG00000239268	3	117672154	117997592	q13.32
ENSG00000240393	3	117674342	117675144	q13.32
ENSG00000228251	2	112590796	112591939	q14.1
ENSG00000226932	CHR_HSCHR6_MHC_SSTO_CTG1	29269328	29270287	
ENSG00000161055	5	180590103	180591540	q35.3
ENSG00000226466	10	81136540	81137335	q23.1
ENSG00000235583	Y	25512301	25527786	q11.23
ENSG00000123975	9	89311198	89316703	q22.2
ENSG00000176547	11	48324920	48328471	p11.2
ENSG00000197161	11	48345351	48352447	p11.2
ENSG00000117602	1	24502351	24541040	p36.11
ENSG00000214954	8	91101832	91219236	q21.3
ENSG00000258512	14	101730437	101732522	q32.31
